It: 0, Loss: 7.540e+03, Loss_bcs: 7.279e-01, Loss_res: 7.539e+03,Time: 2.06
adaptive_constant_val: 4.770174
Gradients information stored ...
It: 100, Loss: 7.481e+03, Loss_bcs: 1.514e+00, Loss_res: 7.479e+03,Time: 0.02
Gradients information stored ...
It: 200, Loss: 7.376e+03, Loss_bcs: 1.300e+01, Loss_res: 7.363e+03,Time: 0.02
It: 300, Loss: 7.354e+03, Loss_bcs: 2.066e+01, Loss_res: 7.333e+03,Time: 0.02
It: 400, Loss: 5.905e+03, Loss_bcs: 3.248e+01, Loss_res: 5.873e+03,Time: 0.02
It: 500, Loss: 6.234e+03, Loss_bcs: 3.046e+01, Loss_res: 6.203e+03,Time: 0.02
It: 600, Loss: 3.949e+03, Loss_bcs: 3.443e+01, Loss_res: 3.915e+03,Time: 0.02
It: 700, Loss: 3.418e+03, Loss_bcs: 3.455e+01, Loss_res: 3.383e+03,Time: 0.01
It: 800, Loss: 1.281e+03, Loss_bcs: 3.381e+01, Loss_res: 1.247e+03,Time: 0.02
It: 900, Loss: 3.564e+02, Loss_bcs: 3.068e+01, Loss_res: 3.258e+02,Time: 0.02
It: 1000, Loss: 2.529e+02, Loss_bcs: 3.058e+01, Loss_res: 2.223e+02,Time: 0.02
Gradients information stored ...
It: 1100, Loss: 1.079e+02, Loss_bcs: 2.657e+01, Loss_res: 8.132e+01,Time: 0.02
It: 1200, Loss: 1.119e+02, Loss_bcs: 2.503e+01, Loss_res: 8.689e+01,Time: 0.02
It: 1300, Loss: 8.489e+01, Loss_bcs: 2.242e+01, Loss_res: 6.246e+01,Time: 0.02
It: 1400, Loss: 8.138e+01, Loss_bcs: 1.958e+01, Loss_res: 6.180e+01,Time: 0.02
It: 1500, Loss: 6.957e+01, Loss_bcs: 1.791e+01, Loss_res: 5.165e+01,Time: 0.02
It: 1600, Loss: 5.565e+01, Loss_bcs: 1.563e+01, Loss_res: 4.003e+01,Time: 0.02
It: 1700, Loss: 4.685e+01, Loss_bcs: 1.453e+01, Loss_res: 3.232e+01,Time: 0.02
It: 1800, Loss: 3.462e+01, Loss_bcs: 1.144e+01, Loss_res: 2.318e+01,Time: 0.02
It: 1900, Loss: 3.027e+01, Loss_bcs: 1.145e+01, Loss_res: 1.882e+01,Time: 0.02
It: 2000, Loss: 2.730e+01, Loss_bcs: 9.156e+00, Loss_res: 1.815e+01,Time: 0.02
It: 2100, Loss: 2.246e+01, Loss_bcs: 9.201e+00, Loss_res: 1.326e+01,Time: 0.02
It: 2200, Loss: 3.275e+01, Loss_bcs: 8.004e+00, Loss_res: 2.474e+01,Time: 0.02
It: 2300, Loss: 2.343e+01, Loss_bcs: 7.165e+00, Loss_res: 1.627e+01,Time: 0.02
It: 2400, Loss: 2.051e+01, Loss_bcs: 6.115e+00, Loss_res: 1.439e+01,Time: 0.02
It: 2500, Loss: 1.569e+01, Loss_bcs: 5.411e+00, Loss_res: 1.027e+01,Time: 0.02
It: 2600, Loss: 1.468e+01, Loss_bcs: 4.987e+00, Loss_res: 9.694e+00,Time: 0.02
It: 2700, Loss: 1.447e+01, Loss_bcs: 4.717e+00, Loss_res: 9.753e+00,Time: 0.02
It: 2800, Loss: 1.179e+01, Loss_bcs: 4.129e+00, Loss_res: 7.658e+00,Time: 0.02
It: 2900, Loss: 1.172e+01, Loss_bcs: 3.657e+00, Loss_res: 8.063e+00,Time: 0.02
It: 3000, Loss: 1.237e+01, Loss_bcs: 3.598e+00, Loss_res: 8.773e+00,Time: 0.02
It: 3100, Loss: 1.214e+01, Loss_bcs: 3.346e+00, Loss_res: 8.795e+00,Time: 0.02
It: 3200, Loss: 1.010e+01, Loss_bcs: 2.862e+00, Loss_res: 7.241e+00,Time: 0.02
It: 3300, Loss: 1.136e+01, Loss_bcs: 2.825e+00, Loss_res: 8.538e+00,Time: 0.02
It: 3400, Loss: 9.370e+00, Loss_bcs: 2.848e+00, Loss_res: 6.522e+00,Time: 0.02
It: 3500, Loss: 9.013e+00, Loss_bcs: 2.242e+00, Loss_res: 6.771e+00,Time: 0.02
It: 3600, Loss: 7.776e+00, Loss_bcs: 2.672e+00, Loss_res: 5.104e+00,Time: 0.02
It: 3700, Loss: 6.987e+00, Loss_bcs: 2.476e+00, Loss_res: 4.510e+00,Time: 0.04
It: 3800, Loss: 9.848e+00, Loss_bcs: 2.302e+00, Loss_res: 7.546e+00,Time: 0.02
It: 3900, Loss: 6.238e+00, Loss_bcs: 2.026e+00, Loss_res: 4.212e+00,Time: 0.02
It: 4000, Loss: 6.782e+00, Loss_bcs: 2.022e+00, Loss_res: 4.760e+00,Time: 0.02
It: 4100, Loss: 7.434e+00, Loss_bcs: 1.952e+00, Loss_res: 5.482e+00,Time: 0.02
It: 4200, Loss: 7.287e+00, Loss_bcs: 1.744e+00, Loss_res: 5.543e+00,Time: 0.02
It: 4300, Loss: 6.448e+00, Loss_bcs: 1.804e+00, Loss_res: 4.644e+00,Time: 0.02
It: 4400, Loss: 5.698e+00, Loss_bcs: 1.767e+00, Loss_res: 3.931e+00,Time: 0.05
It: 4500, Loss: 5.882e+00, Loss_bcs: 1.513e+00, Loss_res: 4.368e+00,Time: 0.02
It: 4600, Loss: 7.346e+00, Loss_bcs: 1.591e+00, Loss_res: 5.756e+00,Time: 0.02
It: 4700, Loss: 6.047e+00, Loss_bcs: 1.582e+00, Loss_res: 4.465e+00,Time: 0.02
It: 4800, Loss: 6.637e+00, Loss_bcs: 1.351e+00, Loss_res: 5.286e+00,Time: 0.02
It: 4900, Loss: 4.682e+00, Loss_bcs: 1.342e+00, Loss_res: 3.340e+00,Time: 0.02
It: 5000, Loss: 6.149e+00, Loss_bcs: 1.114e+00, Loss_res: 5.035e+00,Time: 0.02
adaptive_constant_val: 41.676012
It: 5100, Loss: 1.113e+01, Loss_bcs: 4.738e+00, Loss_res: 6.395e+00,Time: 0.02
It: 5200, Loss: 7.466e+00, Loss_bcs: 3.603e+00, Loss_res: 3.863e+00,Time: 0.02
It: 5300, Loss: 7.638e+00, Loss_bcs: 3.294e+00, Loss_res: 4.344e+00,Time: 0.02
It: 5400, Loss: 7.030e+00, Loss_bcs: 2.605e+00, Loss_res: 4.425e+00,Time: 0.02
It: 5500, Loss: 8.244e+00, Loss_bcs: 2.079e+00, Loss_res: 6.165e+00,Time: 0.02
It: 5600, Loss: 6.759e+00, Loss_bcs: 1.936e+00, Loss_res: 4.823e+00,Time: 0.02
It: 5700, Loss: 7.329e+00, Loss_bcs: 2.284e+00, Loss_res: 5.045e+00,Time: 0.02
