It: 0, Loss: 8.962e+03, Loss_u: 1.069e+00, Loss_r: 8.961e+03, Time: 7.15
constant_ics_val: 263.852
constant_bcs_val: 55.462
Gradients information stored ...
It: 100, Loss: 9.051e+03, Loss_u: 4.800e+01, Loss_r: 9.003e+03, Time: 0.03
Gradients information stored ...
It: 200, Loss: 3.218e+03, Loss_u: 1.466e+02, Loss_r: 3.071e+03, Time: 0.04
It: 300, Loss: 1.220e+03, Loss_u: 1.678e+02, Loss_r: 1.053e+03, Time: 0.04
It: 400, Loss: 1.167e+03, Loss_u: 1.449e+02, Loss_r: 1.022e+03, Time: 0.04
It: 500, Loss: 1.271e+02, Loss_u: 3.231e+01, Loss_r: 9.483e+01, Time: 0.22
It: 600, Loss: 3.284e+01, Loss_u: 6.918e+00, Loss_r: 2.593e+01, Time: 0.04
It: 700, Loss: 1.997e+01, Loss_u: 2.500e+00, Loss_r: 1.747e+01, Time: 0.05
It: 800, Loss: 1.077e+01, Loss_u: 2.434e+00, Loss_r: 8.339e+00, Time: 0.04
It: 900, Loss: 1.709e+01, Loss_u: 3.370e+00, Loss_r: 1.372e+01, Time: 0.04
It: 1000, Loss: 1.855e+01, Loss_u: 3.895e+00, Loss_r: 1.466e+01, Time: 0.04
Gradients information stored ...
It: 1100, Loss: 9.513e+00, Loss_u: 2.377e+00, Loss_r: 7.136e+00, Time: 0.04
It: 1200, Loss: 1.018e+01, Loss_u: 2.793e+00, Loss_r: 7.383e+00, Time: 0.05
It: 1300, Loss: 1.298e+01, Loss_u: 2.513e+00, Loss_r: 1.046e+01, Time: 0.04
It: 1400, Loss: 1.871e+01, Loss_u: 1.574e+01, Loss_r: 2.968e+00, Time: 0.04
It: 1500, Loss: 9.564e+00, Loss_u: 4.673e+00, Loss_r: 4.891e+00, Time: 0.04
It: 1600, Loss: 4.787e+00, Loss_u: 9.538e-01, Loss_r: 3.833e+00, Time: 0.04
It: 1700, Loss: 5.334e+00, Loss_u: 1.382e+00, Loss_r: 3.952e+00, Time: 0.04
It: 1800, Loss: 3.071e+00, Loss_u: 8.326e-01, Loss_r: 2.239e+00, Time: 0.04
It: 1900, Loss: 3.826e+00, Loss_u: 1.032e+00, Loss_r: 2.794e+00, Time: 0.04
It: 2000, Loss: 1.526e+01, Loss_u: 1.192e+01, Loss_r: 3.344e+00, Time: 0.04
It: 2100, Loss: 4.288e+00, Loss_u: 7.940e-01, Loss_r: 3.494e+00, Time: 0.04
It: 2200, Loss: 7.213e+00, Loss_u: 5.533e-01, Loss_r: 6.660e+00, Time: 0.04
It: 2300, Loss: 3.274e+00, Loss_u: 5.982e-01, Loss_r: 2.676e+00, Time: 0.05
It: 2400, Loss: 4.181e+00, Loss_u: 1.370e+00, Loss_r: 2.811e+00, Time: 0.05
It: 2500, Loss: 2.509e+00, Loss_u: 5.036e-01, Loss_r: 2.006e+00, Time: 0.04
It: 2600, Loss: 3.728e+00, Loss_u: 1.051e+00, Loss_r: 2.677e+00, Time: 0.04
It: 2700, Loss: 1.202e+01, Loss_u: 8.214e+00, Loss_r: 3.808e+00, Time: 0.04
It: 2800, Loss: 5.951e+00, Loss_u: 5.397e-01, Loss_r: 5.411e+00, Time: 0.05
It: 2900, Loss: 3.417e+00, Loss_u: 1.159e+00, Loss_r: 2.258e+00, Time: 0.04
It: 3000, Loss: 2.078e+00, Loss_u: 4.783e-01, Loss_r: 1.600e+00, Time: 0.04
It: 3100, Loss: 1.275e+01, Loss_u: 1.033e+01, Loss_r: 2.418e+00, Time: 0.04
It: 3200, Loss: 1.693e+01, Loss_u: 2.276e+00, Loss_r: 1.465e+01, Time: 0.04
It: 3300, Loss: 5.652e+00, Loss_u: 1.430e+00, Loss_r: 4.222e+00, Time: 0.04
It: 3400, Loss: 2.093e+00, Loss_u: 3.847e-01, Loss_r: 1.709e+00, Time: 0.04
It: 3500, Loss: 2.127e+00, Loss_u: 6.935e-01, Loss_r: 1.433e+00, Time: 0.04
