It: 0, Loss: 5.372e-01, Loss_u: 4.850e-01, Loss_r: 5.222e-02, Time: 71.36
constant_bcs_val: 1.659
Gradients information stored ...
It: 10, Loss: 5.334e-01, Loss_u: 4.782e-01, Loss_r: 5.515e-02, Time: 0.10
It: 20, Loss: 3.229e-01, Loss_u: 2.884e-01, Loss_r: 3.455e-02, Time: 0.09
It: 30, Loss: 2.661e-01, Loss_u: 2.365e-01, Loss_r: 2.962e-02, Time: 0.16
It: 40, Loss: 1.976e-01, Loss_u: 1.802e-01, Loss_r: 1.739e-02, Time: 0.29
It: 50, Loss: 1.929e-01, Loss_u: 1.768e-01, Loss_r: 1.611e-02, Time: 0.22
It: 60, Loss: 1.661e-01, Loss_u: 1.551e-01, Loss_r: 1.103e-02, Time: 0.25
It: 70, Loss: 1.864e-01, Loss_u: 1.719e-01, Loss_r: 1.454e-02, Time: 0.23
It: 80, Loss: 1.359e-01, Loss_u: 1.263e-01, Loss_r: 9.602e-03, Time: 0.23
It: 90, Loss: 1.613e-01, Loss_u: 1.504e-01, Loss_r: 1.093e-02, Time: 0.22
It: 100, Loss: 1.497e-01, Loss_u: 1.366e-01, Loss_r: 1.310e-02, Time: 0.24
Gradients information stored ...
It: 110, Loss: 1.446e-01, Loss_u: 1.280e-01, Loss_r: 1.652e-02, Time: 0.24
It: 120, Loss: 1.199e-01, Loss_u: 1.113e-01, Loss_r: 8.642e-03, Time: 0.24
It: 130, Loss: 1.256e-01, Loss_u: 1.152e-01, Loss_r: 1.047e-02, Time: 0.24
It: 140, Loss: 1.342e-01, Loss_u: 1.229e-01, Loss_r: 1.131e-02, Time: 0.24
It: 150, Loss: 1.199e-01, Loss_u: 1.075e-01, Loss_r: 1.239e-02, Time: 0.23
It: 160, Loss: 1.139e-01, Loss_u: 1.037e-01, Loss_r: 1.015e-02, Time: 0.25
It: 170, Loss: 1.190e-01, Loss_u: 1.124e-01, Loss_r: 6.604e-03, Time: 0.22
It: 180, Loss: 9.479e-02, Loss_u: 8.699e-02, Loss_r: 7.800e-03, Time: 0.25
It: 190, Loss: 9.770e-02, Loss_u: 8.804e-02, Loss_r: 9.661e-03, Time: 0.23
It: 200, Loss: 8.609e-02, Loss_u: 7.820e-02, Loss_r: 7.882e-03, Time: 0.22
It: 210, Loss: 9.275e-02, Loss_u: 8.375e-02, Loss_r: 9.003e-03, Time: 0.27
It: 220, Loss: 7.520e-02, Loss_u: 6.831e-02, Loss_r: 6.891e-03, Time: 0.24
It: 230, Loss: 8.285e-02, Loss_u: 7.358e-02, Loss_r: 9.274e-03, Time: 0.24
It: 240, Loss: 8.441e-02, Loss_u: 7.909e-02, Loss_r: 5.325e-03, Time: 0.23
It: 250, Loss: 6.788e-02, Loss_u: 6.131e-02, Loss_r: 6.573e-03, Time: 0.24
It: 260, Loss: 6.608e-02, Loss_u: 5.820e-02, Loss_r: 7.885e-03, Time: 0.23
It: 270, Loss: 6.898e-02, Loss_u: 5.952e-02, Loss_r: 9.466e-03, Time: 0.24
It: 280, Loss: 7.006e-02, Loss_u: 6.489e-02, Loss_r: 5.174e-03, Time: 0.25
It: 290, Loss: 7.078e-02, Loss_u: 6.337e-02, Loss_r: 7.412e-03, Time: 0.25
It: 300, Loss: 7.129e-02, Loss_u: 6.489e-02, Loss_r: 6.400e-03, Time: 0.25
It: 310, Loss: 6.045e-02, Loss_u: 5.385e-02, Loss_r: 6.606e-03, Time: 0.30
It: 320, Loss: 6.488e-02, Loss_u: 5.654e-02, Loss_r: 8.340e-03, Time: 0.25
It: 330, Loss: 6.769e-02, Loss_u: 6.261e-02, Loss_r: 5.077e-03, Time: 0.26
It: 340, Loss: 5.827e-02, Loss_u: 5.229e-02, Loss_r: 5.979e-03, Time: 0.24
It: 350, Loss: 5.341e-02, Loss_u: 4.869e-02, Loss_r: 4.719e-03, Time: 0.24
It: 360, Loss: 6.094e-02, Loss_u: 5.733e-02, Loss_r: 3.617e-03, Time: 0.25
It: 370, Loss: 5.172e-02, Loss_u: 4.232e-02, Loss_r: 9.405e-03, Time: 0.24
It: 380, Loss: 5.527e-02, Loss_u: 5.002e-02, Loss_r: 5.244e-03, Time: 0.23
It: 390, Loss: 6.553e-02, Loss_u: 6.112e-02, Loss_r: 4.409e-03, Time: 0.23
It: 400, Loss: 6.427e-02, Loss_u: 5.841e-02, Loss_r: 5.858e-03, Time: 0.23
It: 410, Loss: 5.559e-02, Loss_u: 5.109e-02, Loss_r: 4.498e-03, Time: 0.25
It: 420, Loss: 5.884e-02, Loss_u: 5.506e-02, Loss_r: 3.780e-03, Time: 0.26
It: 430, Loss: 6.179e-02, Loss_u: 5.585e-02, Loss_r: 5.936e-03, Time: 0.23
It: 440, Loss: 5.589e-02, Loss_u: 5.162e-02, Loss_r: 4.265e-03, Time: 0.27
It: 450, Loss: 6.146e-02, Loss_u: 5.632e-02, Loss_r: 5.135e-03, Time: 0.25
It: 460, Loss: 4.451e-02, Loss_u: 4.015e-02, Loss_r: 4.364e-03, Time: 0.24
It: 470, Loss: 5.160e-02, Loss_u: 4.751e-02, Loss_r: 4.094e-03, Time: 0.23
It: 480, Loss: 5.736e-02, Loss_u: 5.299e-02, Loss_r: 4.373e-03, Time: 0.23
It: 490, Loss: 6.079e-02, Loss_u: 5.428e-02, Loss_r: 6.502e-03, Time: 0.23
It: 500, Loss: 5.189e-02, Loss_u: 4.813e-02, Loss_r: 3.761e-03, Time: 0.22
It: 510, Loss: 5.554e-02, Loss_u: 5.004e-02, Loss_r: 5.499e-03, Time: 0.26
It: 520, Loss: 5.826e-02, Loss_u: 5.444e-02, Loss_r: 3.814e-03, Time: 0.24
It: 530, Loss: 4.681e-02, Loss_u: 4.300e-02, Loss_r: 3.811e-03, Time: 0.24
It: 540, Loss: 4.555e-02, Loss_u: 4.112e-02, Loss_r: 4.421e-03, Time: 0.24
It: 550, Loss: 4.821e-02, Loss_u: 4.411e-02, Loss_r: 4.105e-03, Time: 0.25
It: 560, Loss: 4.854e-02, Loss_u: 4.526e-02, Loss_r: 3.282e-03, Time: 0.25
It: 570, Loss: 4.880e-02, Loss_u: 4.456e-02, Loss_r: 4.246e-03, Time: 0.25
It: 580, Loss: 4.544e-02, Loss_u: 4.054e-02, Loss_r: 4.903e-03, Time: 0.23
It: 590, Loss: 5.153e-02, Loss_u: 4.570e-02, Loss_r: 5.823e-03, Time: 0.22
It: 600, Loss: 3.909e-02, Loss_u: 3.422e-02, Loss_r: 4.875e-03, Time: 0.28
It: 610, Loss: 6.573e-02, Loss_u: 6.195e-02, Loss_r: 3.785e-03, Time: 0.22
It: 620, Loss: 5.556e-02, Loss_u: 5.033e-02, Loss_r: 5.221e-03, Time: 0.24
