It: 0, Loss: 1.528e+00, Loss_u: 5.635e-01, Loss_r: 9.644e-01, Time: 15.42
constant_bcs_val: 6.999
Gradients information stored ...
It: 10, Loss: 2.315e+00, Loss_u: 2.146e+00, Loss_r: 1.693e-01, Time: 0.06
It: 20, Loss: 1.338e+00, Loss_u: 1.281e+00, Loss_r: 5.671e-02, Time: 0.11
It: 30, Loss: 9.870e-01, Loss_u: 8.286e-01, Loss_r: 1.584e-01, Time: 0.05
It: 40, Loss: 8.728e-01, Loss_u: 8.264e-01, Loss_r: 4.635e-02, Time: 0.09
It: 50, Loss: 7.863e-01, Loss_u: 7.676e-01, Loss_r: 1.865e-02, Time: 0.07
It: 60, Loss: 6.776e-01, Loss_u: 6.527e-01, Loss_r: 2.493e-02, Time: 0.06
It: 70, Loss: 6.957e-01, Loss_u: 6.652e-01, Loss_r: 3.052e-02, Time: 0.07
It: 80, Loss: 7.073e-01, Loss_u: 6.775e-01, Loss_r: 2.985e-02, Time: 0.10
It: 90, Loss: 6.342e-01, Loss_u: 6.065e-01, Loss_r: 2.774e-02, Time: 0.06
It: 100, Loss: 5.701e-01, Loss_u: 5.451e-01, Loss_r: 2.495e-02, Time: 0.06
Gradients information stored ...
It: 110, Loss: 5.871e-01, Loss_u: 5.643e-01, Loss_r: 2.284e-02, Time: 0.06
It: 120, Loss: 5.268e-01, Loss_u: 5.027e-01, Loss_r: 2.405e-02, Time: 0.10
It: 130, Loss: 5.912e-01, Loss_u: 5.629e-01, Loss_r: 2.831e-02, Time: 0.07
It: 140, Loss: 5.946e-01, Loss_u: 5.736e-01, Loss_r: 2.097e-02, Time: 0.08
It: 150, Loss: 4.822e-01, Loss_u: 4.592e-01, Loss_r: 2.304e-02, Time: 0.08
It: 160, Loss: 5.873e-01, Loss_u: 5.670e-01, Loss_r: 2.034e-02, Time: 0.08
It: 170, Loss: 4.551e-01, Loss_u: 4.345e-01, Loss_r: 2.055e-02, Time: 0.06
It: 180, Loss: 4.380e-01, Loss_u: 4.162e-01, Loss_r: 2.183e-02, Time: 0.07
It: 190, Loss: 4.280e-01, Loss_u: 3.959e-01, Loss_r: 3.211e-02, Time: 0.07
It: 200, Loss: 4.161e-01, Loss_u: 3.894e-01, Loss_r: 2.667e-02, Time: 0.08
It: 210, Loss: 4.111e-01, Loss_u: 3.795e-01, Loss_r: 3.164e-02, Time: 0.06
It: 220, Loss: 3.985e-01, Loss_u: 3.725e-01, Loss_r: 2.603e-02, Time: 0.05
It: 230, Loss: 3.477e-01, Loss_u: 3.218e-01, Loss_r: 2.595e-02, Time: 0.07
It: 240, Loss: 3.922e-01, Loss_u: 3.664e-01, Loss_r: 2.573e-02, Time: 0.04
It: 250, Loss: 4.542e-01, Loss_u: 4.378e-01, Loss_r: 1.641e-02, Time: 0.06
It: 260, Loss: 3.255e-01, Loss_u: 3.003e-01, Loss_r: 2.519e-02, Time: 0.05
It: 270, Loss: 3.641e-01, Loss_u: 3.370e-01, Loss_r: 2.709e-02, Time: 0.07
It: 280, Loss: 3.102e-01, Loss_u: 2.832e-01, Loss_r: 2.707e-02, Time: 0.06
It: 290, Loss: 2.940e-01, Loss_u: 2.686e-01, Loss_r: 2.542e-02, Time: 0.07
It: 300, Loss: 3.238e-01, Loss_u: 3.075e-01, Loss_r: 1.626e-02, Time: 0.09
It: 310, Loss: 2.072e-01, Loss_u: 1.802e-01, Loss_r: 2.702e-02, Time: 0.06
It: 320, Loss: 2.711e-01, Loss_u: 2.391e-01, Loss_r: 3.206e-02, Time: 0.07
It: 330, Loss: 3.259e-01, Loss_u: 2.979e-01, Loss_r: 2.805e-02, Time: 0.07
It: 340, Loss: 2.650e-01, Loss_u: 2.372e-01, Loss_r: 2.782e-02, Time: 0.06
It: 350, Loss: 2.439e-01, Loss_u: 2.198e-01, Loss_r: 2.412e-02, Time: 0.07
It: 360, Loss: 2.656e-01, Loss_u: 2.400e-01, Loss_r: 2.555e-02, Time: 0.10
It: 370, Loss: 2.993e-01, Loss_u: 2.753e-01, Loss_r: 2.405e-02, Time: 0.07
It: 380, Loss: 2.674e-01, Loss_u: 2.402e-01, Loss_r: 2.718e-02, Time: 0.05
It: 390, Loss: 2.024e-01, Loss_u: 1.750e-01, Loss_r: 2.738e-02, Time: 0.05
It: 400, Loss: 2.444e-01, Loss_u: 2.174e-01, Loss_r: 2.699e-02, Time: 0.06
It: 410, Loss: 2.421e-01, Loss_u: 2.129e-01, Loss_r: 2.915e-02, Time: 0.06
It: 420, Loss: 3.592e-01, Loss_u: 3.184e-01, Loss_r: 4.081e-02, Time: 0.06
It: 430, Loss: 2.094e-01, Loss_u: 1.796e-01, Loss_r: 2.986e-02, Time: 0.06
It: 440, Loss: 2.120e-01, Loss_u: 1.886e-01, Loss_r: 2.335e-02, Time: 0.05
It: 450, Loss: 3.114e-01, Loss_u: 2.673e-01, Loss_r: 4.411e-02, Time: 0.06
It: 460, Loss: 1.872e-01, Loss_u: 1.651e-01, Loss_r: 2.210e-02, Time: 0.05
It: 470, Loss: 2.115e-01, Loss_u: 1.944e-01, Loss_r: 1.711e-02, Time: 0.05
It: 480, Loss: 2.244e-01, Loss_u: 1.902e-01, Loss_r: 3.415e-02, Time: 0.09
It: 490, Loss: 2.360e-01, Loss_u: 1.989e-01, Loss_r: 3.713e-02, Time: 0.09
It: 500, Loss: 2.655e-01, Loss_u: 2.499e-01, Loss_r: 1.565e-02, Time: 0.07
It: 510, Loss: 1.832e-01, Loss_u: 1.694e-01, Loss_r: 1.374e-02, Time: 0.07
It: 520, Loss: 2.124e-01, Loss_u: 1.957e-01, Loss_r: 1.673e-02, Time: 0.07
It: 530, Loss: 1.624e-01, Loss_u: 1.459e-01, Loss_r: 1.654e-02, Time: 0.07
It: 540, Loss: 1.809e-01, Loss_u: 1.502e-01, Loss_r: 3.064e-02, Time: 0.07
It: 550, Loss: 1.986e-01, Loss_u: 1.671e-01, Loss_r: 3.155e-02, Time: 0.06
It: 560, Loss: 1.467e-01, Loss_u: 1.281e-01, Loss_r: 1.863e-02, Time: 0.05
It: 570, Loss: 2.248e-01, Loss_u: 1.895e-01, Loss_r: 3.526e-02, Time: 0.05
It: 580, Loss: 1.768e-01, Loss_u: 1.544e-01, Loss_r: 2.243e-02, Time: 0.05
It: 590, Loss: 2.402e-01, Loss_u: 2.092e-01, Loss_r: 3.101e-02, Time: 0.05
It: 600, Loss: 1.952e-01, Loss_u: 1.783e-01, Loss_r: 1.698e-02, Time: 0.06
It: 610, Loss: 1.462e-01, Loss_u: 1.310e-01, Loss_r: 1.516e-02, Time: 0.06
It: 620, Loss: 1.747e-01, Loss_u: 1.599e-01, Loss_r: 1.476e-02, Time: 0.06
It: 630, Loss: 2.065e-01, Loss_u: 1.842e-01, Loss_r: 2.228e-02, Time: 0.06
It: 640, Loss: 1.813e-01, Loss_u: 1.636e-01, Loss_r: 1.772e-02, Time: 0.06
