It: 0, Loss: 6.854e+03, Loss_bcs: 3.114e-01, Loss_res: 6.853e+03,Time: 1.53
adaptive_constant_val: 2686.861723
Gradients information stored ...
It: 100, Loss: 5.960e+03, Loss_bcs: 1.605e-01, Loss_res: 5.960e+03,Time: 0.01
Gradients information stored ...
It: 200, Loss: 7.134e+03, Loss_bcs: 1.833e-01, Loss_res: 7.134e+03,Time: 0.01
It: 300, Loss: 8.535e+03, Loss_bcs: 5.620e-01, Loss_res: 8.534e+03,Time: 0.01
It: 400, Loss: 6.782e+03, Loss_bcs: 1.200e+00, Loss_res: 6.781e+03,Time: 0.01
It: 500, Loss: 7.464e+03, Loss_bcs: 1.366e+00, Loss_res: 7.463e+03,Time: 0.01
It: 600, Loss: 6.535e+03, Loss_bcs: 1.378e+00, Loss_res: 6.533e+03,Time: 0.01
It: 700, Loss: 7.834e+03, Loss_bcs: 1.512e+00, Loss_res: 7.832e+03,Time: 0.01
It: 800, Loss: 7.011e+03, Loss_bcs: 1.985e+00, Loss_res: 7.009e+03,Time: 0.01
It: 900, Loss: 8.074e+03, Loss_bcs: 1.816e+00, Loss_res: 8.072e+03,Time: 0.02
It: 1000, Loss: 7.669e+03, Loss_bcs: 1.848e+00, Loss_res: 7.667e+03,Time: 0.01
Gradients information stored ...
It: 1100, Loss: 6.826e+03, Loss_bcs: 1.846e+00, Loss_res: 6.824e+03,Time: 0.01
It: 1200, Loss: 7.852e+03, Loss_bcs: 2.265e+00, Loss_res: 7.849e+03,Time: 0.01
It: 1300, Loss: 6.187e+03, Loss_bcs: 2.340e+00, Loss_res: 6.185e+03,Time: 0.01
It: 1400, Loss: 8.016e+03, Loss_bcs: 1.749e+00, Loss_res: 8.014e+03,Time: 0.01
It: 1500, Loss: 7.980e+03, Loss_bcs: 2.204e+00, Loss_res: 7.978e+03,Time: 0.00
It: 1600, Loss: 6.386e+03, Loss_bcs: 2.575e+00, Loss_res: 6.383e+03,Time: 0.00
It: 1700, Loss: 5.905e+03, Loss_bcs: 2.490e+00, Loss_res: 5.903e+03,Time: 0.01
It: 1800, Loss: 7.956e+03, Loss_bcs: 2.112e+00, Loss_res: 7.954e+03,Time: 0.01
It: 1900, Loss: 7.067e+03, Loss_bcs: 2.664e+00, Loss_res: 7.064e+03,Time: 0.01
It: 2000, Loss: 7.802e+03, Loss_bcs: 2.526e+00, Loss_res: 7.799e+03,Time: 0.01
It: 2100, Loss: 6.629e+03, Loss_bcs: 3.024e+00, Loss_res: 6.626e+03,Time: 0.01
It: 2200, Loss: 6.563e+03, Loss_bcs: 3.672e+00, Loss_res: 6.559e+03,Time: 0.01
It: 2300, Loss: 6.447e+03, Loss_bcs: 3.628e+01, Loss_res: 6.410e+03,Time: 0.01
It: 2400, Loss: 6.146e+03, Loss_bcs: 4.965e+01, Loss_res: 6.096e+03,Time: 0.01
It: 2500, Loss: 5.338e+03, Loss_bcs: 1.380e+02, Loss_res: 5.200e+03,Time: 0.00
It: 2600, Loss: 4.498e+03, Loss_bcs: 2.061e+02, Loss_res: 4.292e+03,Time: 0.01
It: 2700, Loss: 4.004e+03, Loss_bcs: 1.775e+02, Loss_res: 3.827e+03,Time: 0.01
