It: 0, Loss: 8.203e+03, Loss_u: 1.506e+00, Loss_r: 8.201e+03, Time: 3.39
constant_ics_val: 88.495
constant_bcs_val: 37.119
Gradients information stored ...
It: 100, Loss: 3.697e+03, Loss_u: 1.191e+02, Loss_r: 3.578e+03, Time: 0.04
Gradients information stored ...
It: 200, Loss: 1.728e+03, Loss_u: 2.058e+02, Loss_r: 1.522e+03, Time: 0.03
It: 300, Loss: 2.006e+02, Loss_u: 8.600e+01, Loss_r: 1.146e+02, Time: 0.03
It: 400, Loss: 1.065e+02, Loss_u: 3.577e+01, Loss_r: 7.069e+01, Time: 0.03
It: 500, Loss: 5.713e+01, Loss_u: 1.618e+01, Loss_r: 4.095e+01, Time: 0.03
It: 600, Loss: 4.462e+01, Loss_u: 1.109e+01, Loss_r: 3.353e+01, Time: 0.03
It: 700, Loss: 2.319e+01, Loss_u: 8.716e+00, Loss_r: 1.447e+01, Time: 0.03
It: 800, Loss: 5.093e+01, Loss_u: 3.106e+01, Loss_r: 1.987e+01, Time: 0.03
It: 900, Loss: 1.603e+01, Loss_u: 3.202e+00, Loss_r: 1.283e+01, Time: 0.04
It: 1000, Loss: 1.727e+01, Loss_u: 4.148e+00, Loss_r: 1.312e+01, Time: 0.03
Gradients information stored ...
It: 1100, Loss: 1.646e+01, Loss_u: 8.659e+00, Loss_r: 7.804e+00, Time: 0.04
It: 1200, Loss: 9.095e+00, Loss_u: 1.536e+00, Loss_r: 7.559e+00, Time: 0.04
It: 1300, Loss: 9.975e+00, Loss_u: 4.316e+00, Loss_r: 5.659e+00, Time: 0.04
It: 1400, Loss: 4.180e+00, Loss_u: 9.820e-01, Loss_r: 3.198e+00, Time: 0.04
It: 1500, Loss: 8.004e+00, Loss_u: 1.762e+00, Loss_r: 6.242e+00, Time: 0.04
It: 1600, Loss: 6.799e+00, Loss_u: 2.076e+00, Loss_r: 4.723e+00, Time: 0.05
It: 1700, Loss: 9.616e+00, Loss_u: 1.121e+00, Loss_r: 8.495e+00, Time: 0.04
It: 1800, Loss: 9.595e+00, Loss_u: 3.861e+00, Loss_r: 5.734e+00, Time: 0.04
It: 1900, Loss: 1.730e+01, Loss_u: 8.997e+00, Loss_r: 8.305e+00, Time: 0.04
It: 2000, Loss: 8.086e+00, Loss_u: 7.500e-01, Loss_r: 7.336e+00, Time: 0.04
It: 2100, Loss: 9.542e+00, Loss_u: 1.546e+00, Loss_r: 7.996e+00, Time: 0.03
It: 2200, Loss: 5.296e+00, Loss_u: 6.818e-01, Loss_r: 4.614e+00, Time: 0.04
It: 2300, Loss: 3.912e+00, Loss_u: 5.814e-01, Loss_r: 3.331e+00, Time: 0.04
It: 2400, Loss: 6.463e+00, Loss_u: 7.317e-01, Loss_r: 5.731e+00, Time: 0.04
It: 2500, Loss: 3.156e+00, Loss_u: 7.318e-01, Loss_r: 2.424e+00, Time: 0.04
It: 2600, Loss: 7.850e+00, Loss_u: 4.203e+00, Loss_r: 3.647e+00, Time: 0.04
It: 2700, Loss: 5.478e+00, Loss_u: 1.301e+00, Loss_r: 4.177e+00, Time: 0.04
It: 2800, Loss: 1.985e+00, Loss_u: 4.802e-01, Loss_r: 1.504e+00, Time: 0.04
