It: 0, Loss: 1.739e+00, Loss_u: 1.301e+00, Loss_r: 4.381e-01, Time: 70.98
constant_bcs_val: 1.470
Gradients information stored ...
It: 10, Loss: 6.597e-01, Loss_u: 6.008e-01, Loss_r: 5.895e-02, Time: 0.27
It: 20, Loss: 4.743e-01, Loss_u: 4.216e-01, Loss_r: 5.276e-02, Time: 0.31
It: 30, Loss: 3.822e-01, Loss_u: 3.355e-01, Loss_r: 4.675e-02, Time: 0.24
It: 40, Loss: 2.830e-01, Loss_u: 2.549e-01, Loss_r: 2.815e-02, Time: 0.22
It: 50, Loss: 2.301e-01, Loss_u: 2.056e-01, Loss_r: 2.455e-02, Time: 0.25
It: 60, Loss: 2.237e-01, Loss_u: 2.012e-01, Loss_r: 2.254e-02, Time: 0.26
It: 70, Loss: 1.946e-01, Loss_u: 1.778e-01, Loss_r: 1.674e-02, Time: 0.22
It: 80, Loss: 1.877e-01, Loss_u: 1.730e-01, Loss_r: 1.470e-02, Time: 0.27
It: 90, Loss: 1.889e-01, Loss_u: 1.748e-01, Loss_r: 1.406e-02, Time: 0.22
It: 100, Loss: 1.708e-01, Loss_u: 1.573e-01, Loss_r: 1.349e-02, Time: 0.23
Gradients information stored ...
It: 110, Loss: 1.559e-01, Loss_u: 1.439e-01, Loss_r: 1.197e-02, Time: 0.27
It: 120, Loss: 1.550e-01, Loss_u: 1.426e-01, Loss_r: 1.238e-02, Time: 0.29
It: 130, Loss: 1.480e-01, Loss_u: 1.348e-01, Loss_r: 1.324e-02, Time: 0.23
It: 140, Loss: 1.351e-01, Loss_u: 1.237e-01, Loss_r: 1.142e-02, Time: 0.27
It: 150, Loss: 1.424e-01, Loss_u: 1.285e-01, Loss_r: 1.385e-02, Time: 0.25
It: 160, Loss: 1.517e-01, Loss_u: 1.397e-01, Loss_r: 1.206e-02, Time: 0.28
It: 170, Loss: 1.112e-01, Loss_u: 1.000e-01, Loss_r: 1.116e-02, Time: 0.23
It: 180, Loss: 1.183e-01, Loss_u: 1.087e-01, Loss_r: 9.645e-03, Time: 0.23
It: 190, Loss: 1.134e-01, Loss_u: 1.036e-01, Loss_r: 9.817e-03, Time: 0.24
It: 200, Loss: 1.273e-01, Loss_u: 1.150e-01, Loss_r: 1.229e-02, Time: 0.18
It: 210, Loss: 1.065e-01, Loss_u: 9.575e-02, Loss_r: 1.072e-02, Time: 0.25
It: 220, Loss: 1.080e-01, Loss_u: 9.717e-02, Loss_r: 1.078e-02, Time: 0.24
It: 230, Loss: 1.082e-01, Loss_u: 9.713e-02, Loss_r: 1.110e-02, Time: 0.24
It: 240, Loss: 8.127e-02, Loss_u: 6.897e-02, Loss_r: 1.231e-02, Time: 0.30
It: 250, Loss: 9.195e-02, Loss_u: 8.535e-02, Loss_r: 6.597e-03, Time: 0.25
It: 260, Loss: 7.661e-02, Loss_u: 6.883e-02, Loss_r: 7.777e-03, Time: 0.23
It: 270, Loss: 8.026e-02, Loss_u: 7.169e-02, Loss_r: 8.576e-03, Time: 0.40
It: 280, Loss: 7.685e-02, Loss_u: 7.022e-02, Loss_r: 6.630e-03, Time: 0.28
It: 290, Loss: 7.809e-02, Loss_u: 7.004e-02, Loss_r: 8.049e-03, Time: 0.24
It: 300, Loss: 7.398e-02, Loss_u: 6.578e-02, Loss_r: 8.200e-03, Time: 0.25
It: 310, Loss: 7.778e-02, Loss_u: 6.823e-02, Loss_r: 9.553e-03, Time: 0.26
It: 320, Loss: 6.069e-02, Loss_u: 5.355e-02, Loss_r: 7.138e-03, Time: 0.23
It: 330, Loss: 6.246e-02, Loss_u: 5.488e-02, Loss_r: 7.585e-03, Time: 0.24
It: 340, Loss: 5.160e-02, Loss_u: 4.226e-02, Loss_r: 9.337e-03, Time: 0.23
It: 350, Loss: 6.346e-02, Loss_u: 5.704e-02, Loss_r: 6.421e-03, Time: 0.26
It: 360, Loss: 7.209e-02, Loss_u: 6.472e-02, Loss_r: 7.368e-03, Time: 0.27
It: 370, Loss: 6.768e-02, Loss_u: 6.040e-02, Loss_r: 7.287e-03, Time: 0.22
It: 380, Loss: 6.106e-02, Loss_u: 5.243e-02, Loss_r: 8.623e-03, Time: 0.25
It: 390, Loss: 5.186e-02, Loss_u: 4.710e-02, Loss_r: 4.761e-03, Time: 0.25
It: 400, Loss: 6.155e-02, Loss_u: 5.551e-02, Loss_r: 6.042e-03, Time: 0.25
It: 410, Loss: 6.452e-02, Loss_u: 5.554e-02, Loss_r: 8.987e-03, Time: 0.25
It: 420, Loss: 5.121e-02, Loss_u: 4.289e-02, Loss_r: 8.328e-03, Time: 0.22
It: 430, Loss: 5.604e-02, Loss_u: 5.190e-02, Loss_r: 4.142e-03, Time: 0.25
It: 440, Loss: 5.726e-02, Loss_u: 5.107e-02, Loss_r: 6.198e-03, Time: 0.23
It: 450, Loss: 5.754e-02, Loss_u: 5.073e-02, Loss_r: 6.806e-03, Time: 0.24
It: 460, Loss: 7.164e-02, Loss_u: 6.344e-02, Loss_r: 8.199e-03, Time: 0.25
It: 470, Loss: 6.697e-02, Loss_u: 5.904e-02, Loss_r: 7.934e-03, Time: 0.25
It: 480, Loss: 5.439e-02, Loss_u: 4.740e-02, Loss_r: 6.993e-03, Time: 0.24
It: 490, Loss: 6.816e-02, Loss_u: 6.086e-02, Loss_r: 7.297e-03, Time: 0.25
It: 500, Loss: 6.112e-02, Loss_u: 5.539e-02, Loss_r: 5.731e-03, Time: 0.24
It: 510, Loss: 5.231e-02, Loss_u: 4.324e-02, Loss_r: 9.070e-03, Time: 0.23
It: 520, Loss: 4.404e-02, Loss_u: 3.702e-02, Loss_r: 7.023e-03, Time: 0.23
It: 530, Loss: 4.441e-02, Loss_u: 3.956e-02, Loss_r: 4.849e-03, Time: 0.25
It: 540, Loss: 4.287e-02, Loss_u: 3.806e-02, Loss_r: 4.815e-03, Time: 0.24
It: 550, Loss: 5.717e-02, Loss_u: 4.987e-02, Loss_r: 7.303e-03, Time: 0.24
It: 560, Loss: 5.001e-02, Loss_u: 4.521e-02, Loss_r: 4.798e-03, Time: 0.24
It: 570, Loss: 5.513e-02, Loss_u: 4.968e-02, Loss_r: 5.445e-03, Time: 0.23
It: 580, Loss: 6.051e-02, Loss_u: 5.247e-02, Loss_r: 8.045e-03, Time: 0.22
It: 590, Loss: 3.962e-02, Loss_u: 3.327e-02, Loss_r: 6.350e-03, Time: 0.23
It: 600, Loss: 4.724e-02, Loss_u: 4.243e-02, Loss_r: 4.810e-03, Time: 0.24
It: 610, Loss: 4.901e-02, Loss_u: 4.372e-02, Loss_r: 5.285e-03, Time: 0.22
It: 620, Loss: 6.373e-02, Loss_u: 5.464e-02, Loss_r: 9.087e-03, Time: 0.23
It: 630, Loss: 3.668e-02, Loss_u: 2.856e-02, Loss_r: 8.118e-03, Time: 0.23
It: 640, Loss: 5.725e-02, Loss_u: 5.334e-02, Loss_r: 3.914e-03, Time: 0.26
It: 650, Loss: 5.210e-02, Loss_u: 4.433e-02, Loss_r: 7.769e-03, Time: 0.24
It: 660, Loss: 5.432e-02, Loss_u: 4.512e-02, Loss_r: 9.200e-03, Time: 0.24
It: 670, Loss: 5.209e-02, Loss_u: 4.787e-02, Loss_r: 4.219e-03, Time: 0.29
It: 680, Loss: 6.371e-02, Loss_u: 5.501e-02, Loss_r: 8.697e-03, Time: 0.25
It: 690, Loss: 4.635e-02, Loss_u: 4.317e-02, Loss_r: 3.186e-03, Time: 0.29
