It: 0, Loss: 6.001e-01, Loss_u: 5.691e-01, Loss_r: 3.104e-02, Time: 15.61
constant_bcs_val: 1.530
Gradients information stored ...
It: 10, Loss: 3.772e-01, Loss_u: 3.124e-01, Loss_r: 6.477e-02, Time: 0.06
It: 20, Loss: 2.754e-01, Loss_u: 2.286e-01, Loss_r: 4.686e-02, Time: 0.05
It: 30, Loss: 2.252e-01, Loss_u: 1.962e-01, Loss_r: 2.897e-02, Time: 0.05
It: 40, Loss: 1.933e-01, Loss_u: 1.772e-01, Loss_r: 1.610e-02, Time: 0.06
It: 50, Loss: 1.961e-01, Loss_u: 1.839e-01, Loss_r: 1.221e-02, Time: 0.06
It: 60, Loss: 1.511e-01, Loss_u: 1.402e-01, Loss_r: 1.094e-02, Time: 0.05
It: 70, Loss: 1.671e-01, Loss_u: 1.573e-01, Loss_r: 9.790e-03, Time: 0.06
It: 80, Loss: 1.456e-01, Loss_u: 1.397e-01, Loss_r: 5.884e-03, Time: 0.06
It: 90, Loss: 1.644e-01, Loss_u: 1.552e-01, Loss_r: 9.244e-03, Time: 0.05
It: 100, Loss: 1.322e-01, Loss_u: 1.248e-01, Loss_r: 7.387e-03, Time: 0.08
Gradients information stored ...
It: 110, Loss: 1.049e-01, Loss_u: 9.485e-02, Loss_r: 1.004e-02, Time: 0.05
It: 120, Loss: 1.158e-01, Loss_u: 1.085e-01, Loss_r: 7.283e-03, Time: 0.05
It: 130, Loss: 1.184e-01, Loss_u: 1.123e-01, Loss_r: 6.187e-03, Time: 0.05
It: 140, Loss: 9.937e-02, Loss_u: 9.133e-02, Loss_r: 8.041e-03, Time: 0.05
It: 150, Loss: 9.416e-02, Loss_u: 8.696e-02, Loss_r: 7.197e-03, Time: 0.05
It: 160, Loss: 8.081e-02, Loss_u: 7.161e-02, Loss_r: 9.202e-03, Time: 0.05
It: 170, Loss: 7.781e-02, Loss_u: 6.887e-02, Loss_r: 8.943e-03, Time: 0.06
It: 180, Loss: 9.654e-02, Loss_u: 8.744e-02, Loss_r: 9.106e-03, Time: 0.05
It: 190, Loss: 8.427e-02, Loss_u: 7.905e-02, Loss_r: 5.226e-03, Time: 0.10
It: 200, Loss: 8.462e-02, Loss_u: 7.618e-02, Loss_r: 8.441e-03, Time: 0.13
It: 210, Loss: 7.156e-02, Loss_u: 6.536e-02, Loss_r: 6.199e-03, Time: 0.11
It: 220, Loss: 7.210e-02, Loss_u: 6.436e-02, Loss_r: 7.737e-03, Time: 0.10
It: 230, Loss: 5.834e-02, Loss_u: 5.116e-02, Loss_r: 7.181e-03, Time: 0.10
It: 240, Loss: 6.236e-02, Loss_u: 5.325e-02, Loss_r: 9.106e-03, Time: 0.10
It: 250, Loss: 4.888e-02, Loss_u: 4.321e-02, Loss_r: 5.673e-03, Time: 0.10
It: 260, Loss: 6.433e-02, Loss_u: 5.753e-02, Loss_r: 6.799e-03, Time: 0.07
It: 270, Loss: 5.876e-02, Loss_u: 5.362e-02, Loss_r: 5.140e-03, Time: 0.08
It: 280, Loss: 6.749e-02, Loss_u: 5.980e-02, Loss_r: 7.695e-03, Time: 0.11
It: 290, Loss: 6.084e-02, Loss_u: 4.840e-02, Loss_r: 1.244e-02, Time: 0.06
It: 300, Loss: 5.830e-02, Loss_u: 5.130e-02, Loss_r: 6.999e-03, Time: 0.09
It: 310, Loss: 6.691e-02, Loss_u: 6.072e-02, Loss_r: 6.196e-03, Time: 0.07
It: 320, Loss: 4.722e-02, Loss_u: 4.155e-02, Loss_r: 5.666e-03, Time: 0.10
